violation_code,violation_status,grade,program_element_pe,service_code,risk_level,month,weekday
32,0.0,0.0,1635,1.0,2.0,3,4
31,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
46,0.0,0.0,1635,1.0,2.0,3,4
34,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1635,1.0,2.0,3,4
5,0.0,0.0,1635,1.0,2.0,3,4
27,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
5,0.0,0.0,1635,1.0,2.0,3,4
31,0.0,0.0,1635,1.0,2.0,3,4
35,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1635,1.0,2.0,3,4
38,0.0,0.0,1635,1.0,2.0,3,4
34,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1632,1.0,2.0,3,4
28,0.0,0.0,1632,1.0,2.0,3,4
37,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
33,0.0,0.0,1613,1.0,1.0,3,4
41,0.0,0.0,1613,1.0,1.0,3,4
28,0.0,0.0,1613,1.0,1.0,3,4
39,0.0,0.0,1613,1.0,1.0,3,4
42,0.0,0.0,1613,1.0,1.0,3,4
31,0.0,0.0,1613,1.0,1.0,3,4
40,0.0,0.0,1613,1.0,1.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
38,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1632,1.0,2.0,3,4
42,0.0,0.0,1632,1.0,2.0,3,4
13,0.0,0.0,1632,1.0,2.0,3,4
35,0.0,0.0,1632,1.0,2.0,3,4
31,0.0,0.0,1641,1.0,2.0,3,4
34,0.0,0.0,1641,1.0,2.0,3,4
13,0.0,0.0,1641,1.0,2.0,3,4
38,0.0,0.0,1641,1.0,2.0,3,4
25,0.0,0.0,1635,1.0,2.0,3,4
38,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
23,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1635,1.0,2.0,3,4
37,0.0,0.0,1635,1.0,2.0,3,4
28,0.0,0.0,1637,1.0,0.0,3,4
40,0.0,0.0,1637,1.0,0.0,3,4
33,0.0,0.0,1637,1.0,0.0,3,4
44,0.0,0.0,1637,1.0,0.0,3,4
35,0.0,0.0,1637,1.0,0.0,3,4
41,0.0,0.0,1637,1.0,0.0,3,4
42,0.0,0.0,1637,1.0,0.0,3,4
48,0.0,0.0,1632,1.0,2.0,3,0
42,0.0,0.0,1631,1.0,0.0,3,4
6,0.0,0.0,1631,1.0,0.0,3,4
38,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1631,1.0,0.0,3,4
31,0.0,0.0,1631,1.0,0.0,3,4
5,0.0,0.0,1631,1.0,0.0,3,4
25,0.0,0.0,1631,1.0,0.0,3,4
36,0.0,0.0,1631,1.0,0.0,3,4
6,0.0,0.0,1631,1.0,0.0,3,4
27,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1638,1.0,2.0,3,4
42,0.0,0.0,1638,1.0,2.0,3,4
31,0.0,0.0,1638,1.0,2.0,3,4
13,0.0,0.0,1638,1.0,2.0,3,4
21,0.0,0.0,1638,1.0,2.0,3,4
34,0.0,0.0,1641,1.0,2.0,3,4
28,0.0,0.0,1641,1.0,2.0,3,4
32,0.0,0.0,1641,1.0,2.0,3,4
40,0.0,0.0,1641,1.0,2.0,3,4
33,0.0,0.0,1641,1.0,2.0,3,4
31,0.0,0.0,1641,1.0,2.0,3,4
38,0.0,0.0,1641,1.0,2.0,3,4
27,0.0,0.0,1641,1.0,2.0,3,4
41,0.0,0.0,1641,1.0,2.0,3,4
42,0.0,0.0,1641,1.0,2.0,3,4
31,0.0,0.0,1632,1.0,2.0,3,4
50,0.0,0.0,1632,1.0,2.0,3,4
42,0.0,0.0,1632,1.0,2.0,3,4
35,0.0,0.0,1632,1.0,2.0,3,4
21,0.0,0.0,1632,1.0,2.0,3,4
35,0.0,0.0,1635,1.0,2.0,3,4
27,0.0,0.0,1635,1.0,2.0,3,4
41,0.0,0.0,1635,1.0,2.0,3,4
33,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1635,1.0,2.0,3,4
37,0.0,0.0,1635,1.0,2.0,3,4
34,0.0,0.0,1635,1.0,2.0,3,4
13,0.0,0.0,1635,1.0,2.0,3,4
28,0.0,0.0,1635,1.0,2.0,3,4
42,0.0,0.0,1631,1.0,0.0,3,4
33,0.0,0.0,1631,1.0,0.0,3,4
51,0.0,0.0,1631,1.0,0.0,3,4
23,0.0,0.0,1631,1.0,0.0,3,4
31,0.0,0.0,1631,1.0,0.0,3,4
30,0.0,0.0,1631,1.0,0.0,3,4
23,0.0,0.0,1630,1.0,1.0,3,4
27,0.0,0.0,1630,1.0,1.0,3,4
40,0.0,0.0,1610,1.0,1.0,3,3
38,0.0,0.0,1610,1.0,1.0,3,3
5,0.0,0.0,1610,1.0,1.0,3,3
8,0.0,1.0,1638,1.0,2.0,3,3
31,0.0,1.0,1638,1.0,2.0,3,3
36,0.0,1.0,1638,1.0,2.0,3,3
6,0.0,1.0,1638,1.0,2.0,3,3
33,0.0,1.0,1638,1.0,2.0,3,3
42,0.0,1.0,1638,1.0,2.0,3,3
50,0.0,1.0,1638,1.0,2.0,3,3
5,0.0,1.0,1638,1.0,2.0,3,3
41,0.0,1.0,1638,1.0,2.0,3,3
47,0.0,1.0,1638,1.0,2.0,3,3
52,0.0,1.0,1638,1.0,2.0,3,3
42,0.0,0.0,1638,1.0,2.0,3,3
31,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1638,1.0,2.0,3,3
25,0.0,0.0,1638,1.0,2.0,3,3
21,0.0,0.0,1638,1.0,2.0,3,3
31,0.0,0.0,1632,1.0,2.0,3,3
38,0.0,0.0,1632,1.0,2.0,3,3
25,0.0,0.0,1632,1.0,2.0,3,3
44,0.0,0.0,1632,1.0,2.0,3,3
33,0.0,0.0,1632,1.0,2.0,3,3
41,0.0,0.0,1632,1.0,2.0,3,3
38,0.0,0.0,1638,1.0,2.0,3,3
27,0.0,0.0,1638,1.0,2.0,3,3
35,0.0,0.0,1638,1.0,2.0,3,3
48,0.0,1.0,1613,1.0,1.0,3,0
6,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1637,1.0,0.0,3,3
38,0.0,0.0,1637,1.0,0.0,3,3
34,0.0,0.0,1637,1.0,0.0,3,3
51,0.0,0.0,1637,1.0,0.0,3,3
31,0.0,0.0,1641,1.0,2.0,3,3
6,0.0,0.0,1641,1.0,2.0,3,3
25,0.0,0.0,1641,1.0,2.0,3,3
42,0.0,0.0,1641,1.0,2.0,3,3
31,0.0,0.0,1635,1.0,2.0,3,3
42,0.0,0.0,1635,1.0,2.0,3,3
35,0.0,0.0,1635,1.0,2.0,3,3
31,0.0,0.0,1641,1.0,2.0,3,3
13,0.0,0.0,1641,1.0,2.0,3,3
42,0.0,0.0,1641,1.0,2.0,3,3
26,0.0,0.0,1641,1.0,2.0,3,3
38,0.0,0.0,1641,1.0,2.0,3,3
34,0.0,0.0,1641,1.0,2.0,3,3
33,0.0,0.0,1641,1.0,2.0,3,3
5,0.0,0.0,1630,1.0,1.0,3,3
40,0.0,0.0,1630,1.0,1.0,3,3
23,0.0,1.0,1632,1.0,2.0,3,3
35,0.0,1.0,1632,1.0,2.0,3,3
5,0.0,1.0,1632,1.0,2.0,3,3
21,0.0,1.0,1632,1.0,2.0,3,3
34,0.0,1.0,1632,1.0,2.0,3,3
41,0.0,1.0,1632,1.0,2.0,3,3
50,0.0,1.0,1632,1.0,2.0,3,3
40,0.0,1.0,1632,1.0,2.0,3,3
42,0.0,1.0,1632,1.0,2.0,3,3
33,0.0,1.0,1632,1.0,2.0,3,3
31,0.0,1.0,1632,1.0,2.0,3,3
53,0.0,1.0,1632,1.0,2.0,3,3
25,0.0,1.0,1632,1.0,2.0,3,3
27,0.0,0.0,1631,1.0,0.0,3,3
31,0.0,0.0,1631,1.0,0.0,3,3
33,0.0,0.0,1631,1.0,0.0,3,3
35,0.0,0.0,1631,1.0,0.0,3,3
21,0.0,0.0,1631,1.0,0.0,3,3
28,0.0,0.0,1631,1.0,0.0,3,3
41,0.0,0.0,1631,1.0,0.0,3,3
38,0.0,0.0,1641,1.0,2.0,3,3
46,0.0,0.0,1641,1.0,2.0,3,3
5,0.0,0.0,1632,1.0,2.0,3,3
38,0.0,0.0,1637,1.0,0.0,3,3
31,0.0,0.0,1637,1.0,0.0,3,3
33,0.0,0.0,1637,1.0,0.0,3,3
41,0.0,0.0,1637,1.0,0.0,3,3
40,0.0,0.0,1637,1.0,0.0,3,3
42,0.0,0.0,1641,1.0,2.0,3,3
13,0.0,0.0,1641,1.0,2.0,3,3
38,0.0,0.0,1641,1.0,2.0,3,3
5,0.0,0.0,1641,1.0,2.0,3,3
33,0.0,0.0,1641,1.0,2.0,3,3
37,0.0,0.0,1631,1.0,0.0,3,3
13,0.0,0.0,1631,1.0,0.0,3,3
34,0.0,0.0,1631,1.0,0.0,3,3
42,0.0,0.0,1631,1.0,0.0,3,3
42,0.0,0.0,1611,1.0,0.0,3,3
41,0.0,0.0,1611,1.0,0.0,3,3
31,0.0,0.0,1611,1.0,0.0,3,3
13,0.0,0.0,1611,1.0,0.0,3,3
30,0.0,0.0,1611,1.0,0.0,3,3
44,0.0,0.0,1610,1.0,1.0,3,3
41,0.0,0.0,1611,1.0,0.0,3,3
42,0.0,0.0,1611,1.0,0.0,3,3
31,0.0,0.0,1611,1.0,0.0,3,3
30,0.0,0.0,1611,1.0,0.0,3,3
32,0.0,0.0,1611,1.0,0.0,3,3
21,0.0,0.0,1611,1.0,0.0,3,3
46,0.0,0.0,1611,1.0,0.0,3,3
6,0.0,0.0,1632,401.0,2.0,3,3
34,0.0,0.0,1632,401.0,2.0,3,3
27,0.0,0.0,1632,401.0,2.0,3,3
38,0.0,0.0,1632,401.0,2.0,3,3
31,0.0,0.0,1632,401.0,2.0,3,3
40,0.0,0.0,1632,401.0,2.0,3,3
42,0.0,0.0,1632,401.0,2.0,3,3
27,0.0,2.0,1635,1.0,2.0,3,3
28,0.0,2.0,1635,1.0,2.0,3,3
23,0.0,2.0,1635,1.0,2.0,3,3
33,0.0,2.0,1635,1.0,2.0,3,3
37,0.0,2.0,1635,1.0,2.0,3,3
21,0.0,2.0,1635,1.0,2.0,3,3
51,0.0,2.0,1635,1.0,2.0,3,3
41,0.0,2.0,1635,1.0,2.0,3,3
35,0.0,2.0,1635,1.0,2.0,3,3
25,0.0,2.0,1635,1.0,2.0,3,3
48,0.0,2.0,1635,1.0,2.0,3,3
51,0.0,0.0,1632,1.0,2.0,10,0
13,0.0,2.0,1635,1.0,2.0,3,3
31,0.0,2.0,1635,1.0,2.0,3,3
34,0.0,2.0,1635,1.0,2.0,3,3
42,0.0,2.0,1635,1.0,2.0,3,3
38,0.0,2.0,1635,1.0,2.0,3,3
13,0.0,0.0,1631,1.0,0.0,3,3
53,0.0,0.0,1610,1.0,1.0,3,3
31,0.0,0.0,1610,1.0,1.0,3,3
5,0.0,0.0,1610,1.0,1.0,3,3
40,0.0,0.0,1610,1.0,1.0,3,3
28,0.0,0.0,1634,1.0,0.0,3,3
31,0.0,0.0,1634,1.0,0.0,3,3
38,0.0,0.0,1634,1.0,0.0,3,3
23,0.0,0.0,1634,1.0,0.0,3,3
13,0.0,0.0,1634,1.0,0.0,3,3
42,0.0,0.0,1634,1.0,0.0,3,3
40,0.0,0.0,1634,1.0,0.0,3,3
37,0.0,0.0,1634,1.0,0.0,3,3
33,0.0,0.0,1634,1.0,0.0,3,3
33,0.0,0.0,1613,1.0,1.0,3,3
41,0.0,0.0,1613,1.0,1.0,3,3
21,0.0,0.0,1613,1.0,1.0,3,3
42,0.0,0.0,1613,1.0,1.0,3,3
31,0.0,0.0,1613,1.0,1.0,3,3
38,0.0,0.0,1613,1.0,1.0,3,3
41,0.0,0.0,1632,1.0,2.0,3,3
24,0.0,0.0,1632,1.0,2.0,3,3
33,0.0,0.0,1632,1.0,2.0,3,3
13,0.0,0.0,1632,1.0,2.0,3,3
35,0.0,0.0,1632,1.0,2.0,3,3
31,0.0,0.0,1635,1.0,2.0,3,3
40,0.0,0.0,1641,1.0,2.0,3,3
44,0.0,0.0,1641,1.0,2.0,3,3
34,0.0,0.0,1641,1.0,2.0,3,3
33,0.0,0.0,1641,1.0,2.0,3,3
41,0.0,0.0,1641,1.0,2.0,3,3
32,0.0,0.0,1641,1.0,2.0,3,3
31,0.0,0.0,1641,1.0,2.0,3,3
38,0.0,0.0,1641,1.0,2.0,3,3
23,0.0,0.0,1641,1.0,2.0,3,3
42,0.0,0.0,1641,1.0,2.0,3,3
40,0.0,0.0,1610,401.0,1.0,3,3
31,0.0,0.0,1610,401.0,1.0,3,3
41,0.0,0.0,1610,401.0,1.0,3,3
28,0.0,0.0,1610,401.0,1.0,3,3
42,0.0,0.0,1610,401.0,1.0,3,3
34,0.0,0.0,1610,401.0,1.0,3,3
37,0.0,0.0,1610,401.0,1.0,3,3
21,0.0,0.0,1610,401.0,1.0,3,3
38,0.0,0.0,1610,401.0,1.0,3,3
38,0.0,0.0,1632,1.0,2.0,3,3
13,0.0,0.0,1632,1.0,2.0,3,3
31,0.0,0.0,1632,1.0,2.0,3,3
32,0.0,0.0,1632,1.0,2.0,3,3
8,0.0,0.0,1632,1.0,2.0,3,3
31,0.0,0.0,1632,1.0,2.0,3,3
40,0.0,0.0,1632,1.0,2.0,3,3
42,0.0,0.0,1632,1.0,2.0,3,3
6,0.0,0.0,1632,1.0,2.0,3,3
24,0.0,0.0,1632,1.0,2.0,3,3
35,0.0,0.0,1632,1.0,2.0,3,3
33,0.0,0.0,1632,1.0,2.0,3,3
21,0.0,0.0,1638,1.0,2.0,3,3
28,0.0,0.0,1634,1.0,0.0,3,3
41,0.0,0.0,1634,1.0,0.0,3,3
8,0.0,0.0,1634,1.0,0.0,3,3
37,0.0,0.0,1634,1.0,0.0,3,3
25,0.0,0.0,1634,1.0,0.0,3,3
5,0.0,0.0,1632,1.0,2.0,3,3
38,0.0,0.0,1632,1.0,2.0,3,3
37,0.0,0.0,1632,1.0,2.0,3,3
34,0.0,0.0,1632,1.0,2.0,3,3
28,0.0,0.0,1635,1.0,2.0,3,3
34,0.0,0.0,1635,1.0,2.0,3,3
25,0.0,0.0,1635,1.0,2.0,3,3
41,0.0,0.0,1635,1.0,2.0,3,3
42,0.0,0.0,1635,1.0,2.0,3,3
50,0.0,0.0,1635,1.0,2.0,3,3
38,0.0,0.0,1635,1.0,2.0,3,3
15,0.0,0.0,1635,1.0,2.0,3,3
13,0.0,0.0,1632,1.0,2.0,3,3
42,0.0,0.0,1632,1.0,2.0,3,3
33,0.0,0.0,1632,1.0,2.0,3,3
5,0.0,0.0,1632,1.0,2.0,3,3
33,0.0,0.0,1632,1.0,2.0,3,3
42,0.0,0.0,1632,1.0,2.0,3,3
31,0.0,0.0,1632,1.0,2.0,3,3
6,0.0,0.0,1638,1.0,2.0,3,3
47,0.0,0.0,1638,1.0,2.0,3,3
4,0.0,0.0,1638,1.0,2.0,3,3
5,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1638,1.0,2.0,3,3
38,0.0,0.0,1638,1.0,2.0,3,3
42,0.0,0.0,1631,1.0,0.0,3,3
23,0.0,0.0,1631,1.0,0.0,3,3
21,0.0,0.0,1631,1.0,0.0,3,3
35,0.0,0.0,1631,1.0,0.0,3,3
33,0.0,0.0,1631,1.0,0.0,3,3
31,0.0,0.0,1631,1.0,0.0,3,3
38,0.0,0.0,1631,1.0,0.0,3,3
28,0.0,0.0,1631,1.0,0.0,3,3
44,0.0,0.0,1631,1.0,0.0,3,3
31,0.0,0.0,1631,1.0,0.0,3,3
42,0.0,0.0,1631,1.0,0.0,3,3
21,0.0,0.0,1631,1.0,0.0,3,3
6,0.0,0.0,1630,1.0,1.0,3,3
31,0.0,0.0,1630,1.0,1.0,3,3
47,0.0,0.0,1630,1.0,1.0,3,3
38,0.0,0.0,1630,1.0,1.0,3,3
31,0.0,0.0,1612,1.0,2.0,3,3
33,0.0,0.0,1612,1.0,2.0,3,3
53,0.0,0.0,1612,1.0,2.0,3,3
24,0.0,0.0,1612,1.0,2.0,3,3
5,0.0,0.0,1612,1.0,2.0,3,3
41,0.0,0.0,1631,1.0,0.0,3,3
33,0.0,0.0,1631,1.0,0.0,3,3
31,0.0,0.0,1610,1.0,1.0,3,3
30,0.0,0.0,1610,1.0,1.0,3,3
41,0.0,0.0,1610,1.0,1.0,3,3
42,0.0,0.0,1610,1.0,1.0,3,3
44,0.0,0.0,1638,1.0,2.0,3,3
38,0.0,0.0,1638,1.0,2.0,3,3
31,0.0,0.0,1638,1.0,2.0,3,3
13,0.0,0.0,1638,1.0,2.0,3,3
35,0.0,0.0,1638,1.0,2.0,3,3
42,0.0,0.0,1638,1.0,2.0,3,3
31,0.0,0.0,1638,1.0,2.0,3,3
38,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1638,1.0,2.0,3,3
34,0.0,0.0,1638,1.0,2.0,3,3
5,0.0,0.0,1638,1.0,2.0,3,3
35,0.0,0.0,1638,1.0,2.0,3,3
6,0.0,0.0,1638,1.0,2.0,3,3
27,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1638,1.0,2.0,3,3
41,0.0,0.0,1638,1.0,2.0,3,3
31,0.0,0.0,1638,1.0,2.0,3,3
32,0.0,0.0,1638,1.0,2.0,3,3
51,0.0,0.0,1638,1.0,2.0,3,3
34,0.0,0.0,1638,1.0,2.0,3,3
37,0.0,0.0,1638,1.0,2.0,3,3
42,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1631,1.0,0.0,3,3
28,0.0,0.0,1631,1.0,0.0,3,3
35,0.0,0.0,1631,1.0,0.0,3,3
31,0.0,0.0,1631,1.0,0.0,3,3
42,0.0,0.0,1610,1.0,1.0,3,3
33,0.0,0.0,1610,1.0,1.0,3,3
40,0.0,0.0,1610,1.0,1.0,3,3
43,0.0,0.0,1610,1.0,1.0,3,3
41,0.0,0.0,1610,1.0,1.0,3,3
5,0.0,0.0,1610,1.0,1.0,3,3
31,0.0,0.0,1610,1.0,1.0,3,3
23,0.0,0.0,1632,1.0,2.0,3,3
27,0.0,0.0,1632,1.0,2.0,3,3
33,0.0,0.0,1632,1.0,2.0,3,3
5,0.0,0.0,1632,1.0,2.0,3,3
42,0.0,0.0,1632,1.0,2.0,3,3
40,0.0,0.0,1632,1.0,2.0,3,3
31,0.0,0.0,1632,1.0,2.0,3,3
35,0.0,0.0,1632,1.0,2.0,3,3
41,0.0,0.0,1610,1.0,1.0,3,3
44,0.0,0.0,1610,1.0,1.0,3,3
35,0.0,0.0,1614,1.0,0.0,3,3
42,0.0,0.0,1614,1.0,0.0,3,3
30,0.0,0.0,1614,1.0,0.0,3,3
34,0.0,0.0,1614,1.0,0.0,3,3
5,0.0,0.0,1614,1.0,0.0,3,3
50,0.0,0.0,1634,1.0,0.0,10,2
27,0.0,0.0,1630,1.0,1.0,3,3
32,0.0,0.0,1630,1.0,1.0,3,3
33,0.0,0.0,1632,401.0,2.0,3,3
35,0.0,0.0,1632,401.0,2.0,3,3
44,0.0,0.0,1632,401.0,2.0,3,3
39,0.0,0.0,1632,401.0,2.0,3,3
31,0.0,0.0,1632,401.0,2.0,3,3
42,0.0,0.0,1632,401.0,2.0,3,3
41,0.0,0.0,1632,401.0,2.0,3,3
38,0.0,0.0,1632,401.0,2.0,3,3
37,0.0,0.0,1632,1.0,2.0,3,3
41,0.0,0.0,1632,1.0,2.0,3,3
42,0.0,0.0,1632,1.0,2.0,3,3
31,0.0,0.0,1632,1.0,2.0,3,3
28,0.0,0.0,1632,1.0,2.0,3,3
38,0.0,0.0,1632,1.0,2.0,3,3
42,0.0,0.0,1610,1.0,1.0,3,3
33,0.0,0.0,1634,1.0,0.0,3,3
42,0.0,0.0,1634,1.0,0.0,3,3
38,0.0,0.0,1634,1.0,0.0,3,3
31,0.0,0.0,1634,1.0,0.0,3,3
32,0.0,0.0,1634,1.0,0.0,3,3
37,0.0,0.0,1638,1.0,2.0,3,3
31,0.0,0.0,1638,1.0,2.0,3,3
5,0.0,0.0,1638,1.0,2.0,3,3
38,0.0,0.0,1638,1.0,2.0,3,3
23,0.0,0.0,1638,1.0,2.0,3,3
42,0.0,0.0,1638,1.0,2.0,3,3
35,0.0,0.0,1638,1.0,2.0,3,3
33,0.0,0.0,1638,1.0,2.0,3,3
5,0.0,0.0,1610,1.0,1.0,3,3
40,0.0,0.0,1610,1.0,1.0,3,3
37,0.0,1.0,1632,1.0,2.0,3,3
31,0.0,1.0,1632,1.0,2.0,3,3
46,0.0,0.0,1630,1.0,1.0,3,1
3,0.0,1.0,1632,1.0,2.0,3,3
42,0.0,1.0,1632,1.0,2.0,3,3
21,0.0,1.0,1632,1.0,2.0,3,3
28,0.0,1.0,1632,1.0,2.0,3,3
40,0.0,1.0,1632,1.0,2.0,3,3
35,0.0,1.0,1632,1.0,2.0,3,3
5,0.0,1.0,1632,1.0,2.0,3,3
38,0.0,1.0,1632,1.0,2.0,3,3
34,0.0,1.0,1632,1.0,2.0,3,3
32,0.0,1.0,1632,1.0,2.0,3,3
